[2022-11-28T09:17:21.861Z] INFO  5cb42b3bd454-35/BROKER: Node ID: 5cb42b3bd454-35
[2022-11-28T09:17:21.862Z] INFO  5cb42b3bd454-35/REGISTRY: Strategy: RoundRobinStrategy
[2022-11-28T09:17:21.862Z] INFO  5cb42b3bd454-35/REGISTRY: Discoverer: LocalDiscoverer
[2022-11-28T09:17:21.863Z] INFO  5cb42b3bd454-35/BROKER: Serializer: JSONSerializer
[2022-11-28T09:17:21.869Z] INFO  5cb42b3bd454-35/BROKER: Validator: FastestValidator
[2022-11-28T09:17:21.871Z] INFO  5cb42b3bd454-35/BROKER: Registered 15 middleware(s).
[2022-11-28T09:17:22.780Z] INFO  5cb42b3bd454-35/API: API Gateway server created.
[2022-11-28T09:17:22.781Z] INFO  5cb42b3bd454-35/API: Register route to '/'
[2022-11-28T09:17:22.803Z] INFO  5cb42b3bd454-35/API: 
[2022-11-28T09:17:22.866Z] INFO  5cb42b3bd454-35/AUTH: Waiting for service(s) 'api, webid'...
[2022-11-28T09:17:22.866Z] INFO  5cb42b3bd454-35/BACKUP: Waiting for service(s) 'triplestore'...
[2022-11-28T09:17:22.866Z] INFO  5cb42b3bd454-35/ACTIVITYPUB.COLLECTION: Waiting for service(s) 'triplestore, ldp.resource'...
[2022-11-28T09:17:22.866Z] INFO  5cb42b3bd454-35/ACTIVITYPUB.REGISTRY: Waiting for service(s) 'triplestore, ldp'...
[2022-11-28T09:17:22.866Z] INFO  5cb42b3bd454-35/ACTIVITYPUB.ACTOR: Waiting for service(s) 'activitypub.collection, ldp, signature'...
[2022-11-28T09:17:22.866Z] INFO  5cb42b3bd454-35/ACTIVITYPUB.OBJECT: Waiting for service(s) 'ldp.resource'...
[2022-11-28T09:17:22.866Z] INFO  5cb42b3bd454-35/ACTIVITYPUB.ACTIVITY: Waiting for service(s) 'ldp.container, ldp'...
[2022-11-28T09:17:22.866Z] INFO  5cb42b3bd454-35/ACTIVITYPUB.FOLLOW: Waiting for service(s) 'activitypub.outbox, activitypub.collection'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/ACTIVITYPUB.INBOX: Waiting for service(s) 'activitypub.collection, triplestore, activitypub.registry'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/ACTIVITYPUB.LIKE: Waiting for service(s) 'activitypub.outbox, activitypub.collection'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/ACTIVITYPUB.REPLY: Waiting for service(s) 'activitypub.outbox, activitypub.collection'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/ACTIVITYPUB.RELAY: Waiting for service(s) 'triplestore, jsonld, webfinger, activitypub, activitypub.follow, auth.account, ldp.container, ldp.registry'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/ACTIVITYPUB.OUTBOX: Waiting for service(s) 'activitypub.object, activitypub.collection, activitypub.registry'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/ACTIVITYPUB.DISPATCH: Waiting for service(s) 'activitypub.collection'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/ACTIVITYPUB: Waiting for service(s) 'api'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/JSONLD: Waiting for service(s) 'api'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/LDP.CONTAINER: Waiting for service(s) 'triplestore, jsonld'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/LDP: Waiting for service(s) 'ldp.container, ldp.resource, ldp.registry'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/MIRROR: Waiting for service(s) 'triplestore, webfinger, activitypub, activitypub.relay, void, auth.account, ldp.container, ldp.registry'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/SPARQLENDPOINT: Waiting for service(s) 'triplestore, api'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/TRIPLESTORE: Waiting for service(s) 'jsonld'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/VOID: Waiting for service(s) 'ldp.registry, api, triplestore, jsonld'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/WEBACL.RESOURCE: Waiting for service(s) 'triplestore, jsonld'...
[2022-11-28T09:17:22.867Z] INFO  5cb42b3bd454-35/WEBACL: Waiting for service(s) 'api'...
[2022-11-28T09:17:22.868Z] INFO  5cb42b3bd454-35/WEBFINGER: Waiting for service(s) 'api, auth.account'...
[2022-11-28T09:17:22.868Z] INFO  5cb42b3bd454-35/FILE: Waiting for service(s) 'ldp'...
[2022-11-28T09:17:22.868Z] INFO  5cb42b3bd454-35/INFERENCE: Waiting for service(s) 'triplestore, ldp, jsonld'...
[2022-11-28T09:17:22.868Z] INFO  5cb42b3bd454-35/WEBID: Waiting for service(s) 'ldp.resource'...
[2022-11-28T09:17:22.868Z] INFO  5cb42b3bd454-35/AUTH.ACCOUNT: Waiting for service(s) 'triplestore'...
[2022-11-28T09:17:22.868Z] INFO  5cb42b3bd454-35/LDP.RESOURCE: Waiting for service(s) 'triplestore, jsonld'...
[2022-11-28T09:17:22.868Z] INFO  5cb42b3bd454-35/WEBACL.GROUP: Waiting for service(s) 'triplestore, webacl.resource, ldp.container'...
[2022-11-28T09:17:22.868Z] INFO  5cb42b3bd454-35/LDP.REGISTRY: Waiting for service(s) 'ldp.container, api'...
[2022-11-28T09:17:22.868Z] INFO  5cb42b3bd454-35/LDP.CACHE: Waiting for service(s) 'ldp.container'...
[2022-11-28T09:17:22.872Z] INFO  5cb42b3bd454-35/REGISTRY: '$node' service is registered.
[2022-11-28T09:17:22.874Z] INFO  5cb42b3bd454-35/REGISTRY: 'auth.jwt' service is registered.
[2022-11-28T09:17:22.874Z] INFO  5cb42b3bd454-35/REGISTRY: 'core' service is registered.
[2022-11-28T09:17:22.875Z] INFO  5cb42b3bd454-35/REGISTRY: 'webacl.cache' service is registered.
[2022-11-28T09:17:22.875Z] INFO  5cb42b3bd454-35/REGISTRY: 'signature' service is registered.
[2022-11-28T09:17:22.876Z] INFO  5cb42b3bd454-35/REGISTRY: 'triplestore.dataset' service is registered.
[2022-11-28T09:17:22.876Z] INFO  5cb42b3bd454-35/$NODE: Service '$node' started.
